Date,PowerkW,Weekday,HourOfDay,Month,Day2,TempC,HR,SolarRad,LogTemp,HDH,Holiday,Power~1
1/1/2017 0:00,100.8,7,0,1,49,8.5,75,1.4,2.1,0,1,
1/1/2017 1:00,99.1,7,1,1,49,7.9,76.3,1.5,2.1,0,1,100.8
1/1/2017 2:00,98.5,7,2,1,49,7.3,80.3,1.4,2,0,1,99.1
1/1/2017 3:00,101.4,7,3,1,49,6.8,81.3,1.5,1.9,0,1,98.5
1/1/2017 4:00,98.5,7,4,1,49,6.5,81.2,0.9,1.9,0,1,101.4
1/1/2017 5:00,97.8,7,5,1,49,6,81,1.4,1.8,0,1,98.5
1/1/2017 6:00,94.5,7,6,1,49,5.6,80.4,1,1.7,0,1,97.8
1/1/2017 7:00,95,7,7,1,49,5.5,80.2,1.5,1.7,0,1,94.5
1/1/2017 8:00,104.6,7,8,1,49,5.4,80.4,29.5,1.7,0,1,95
1/1/2017 9:00,101.4,7,9,1,49,5.5,80.1,76.5,1.7,0,1,104.6
1/1/2017 10:00,104.6,7,10,1,49,6,78.8,192.8,1.8,0,1,101.4
1/1/2017 11:00,107,7,11,1,49,6.9,76.3,237.5,1.9,0,1,104.6
1/1/2017 12:00,105,7,12,1,49,7.6,75.3,267.5,2,0,1,107
1/1/2017 13:00,104.8,7,13,1,49,8.7,72.7,203.5,2.2,0,1,105
1/1/2017 14:00,107.4,7,14,1,49,9.8,70,146.2,2.3,0,1,104.8
1/1/2017 15:00,104,7,15,1,49,9.7,71.4,124.3,2.3,0,1,107.4
1/1/2017 16:00,105.2,7,16,1,49,9.5,73.8,56.9,2.3,0,1,104
1/1/2017 17:00,107.9,7,17,1,49,9,76.4,5.2,2.2,0,1,105.2
1/1/2017 18:00,105.3,7,18,1,49,8.9,76.3,1.5,2.2,0,1,107.9
1/1/2017 19:00,105.5,7,19,1,49,9,75.9,1.4,2.2,0,1,105.3
1/1/2017 20:00,110.1,7,20,1,49,9.2,76.9,1.4,2.2,0,1,105.5
1/1/2017 21:00,104.2,7,21,1,49,9.2,78.6,1.3,2.2,0,1,110.1
1/1/2017 22:00,100.4,7,22,1,49,10,77.7,1.2,2.3,0,1,104.2
1/1/2017 23:00,97.7,7,23,1,49,9.9,80.2,1.5,2.3,0,1,100.4
2/1/2017 0:00,92.2,3,0,2,9,11.2,77.8,0.9,2.4,0,0,97.7
2/1/2017 1:00,94.7,3,1,2,9,11.4,79.7,1.3,2.4,0,0,92.2
2/1/2017 2:00,97.9,3,2,2,9,11.6,78.7,1.6,2.5,0,0,94.7
2/1/2017 3:00,95.4,3,3,2,9,11.6,80.7,1,2.4,0,0,97.9
2/1/2017 4:00,95.7,3,4,2,9,11.1,83.2,1,2.4,0,0,95.4
2/1/2017 5:00,96.3,3,5,2,9,11,83.7,1.4,2.4,0,0,95.7
2/1/2017 6:00,104.8,3,6,2,9,11.2,82.8,1.5,2.4,0,0,96.3
2/1/2017 7:00,134,3,7,2,9,11.4,79.7,8.2,2.4,0,0,104.8
2/1/2017 8:00,283.8,3,8,2,9,12.1,74.7,96.3,2.5,0,0,134
2/1/2017 9:00,241,3,9,2,9,12.8,70.8,231.9,2.6,0,0,283.8
2/1/2017 10:00,263.5,3,10,2,9,13.5,64.5,389.9,2.6,0,0,241
2/1/2017 11:00,280.4,3,11,2,9,13.5,59.1,503,2.6,0,0,263.5
2/1/2017 12:00,279.8,3,12,2,9,13.7,58.5,496.9,2.6,0,0,280.4
2/1/2017 13:00,276.2,3,13,2,9,13.7,58.8,432.8,2.6,0,0,279.8
2/1/2017 14:00,281.6,3,14,2,9,13.6,60.3,327.7,2.6,0,0,276.2
2/1/2017 15:00,289.9,3,15,2,9,13.2,65.2,106.2,2.6,0,0,281.6
2/1/2017 16:00,288.7,3,16,2,9,13.2,65.6,49.4,2.6,0,0,289.9
2/1/2017 17:00,257.1,3,17,2,9,12.9,71.5,8.4,2.6,0,0,288.7
2/1/2017 18:00,248.6,3,18,2,9,12.9,73.3,1.8,2.6,0,0,257.1
2/1/2017 19:00,181.6,3,19,2,9,13.1,72.9,1.8,2.6,0,0,248.6
2/1/2017 20:00,129.3,3,20,2,9,13.3,72.9,1.4,2.6,0,0,181.6
2/1/2017 21:00,111.2,3,21,2,9,12.6,82.6,2.3,2.5,0,0,129.3
2/1/2017 22:00,108.5,3,22,2,9,12.6,87.1,2,2.5,0,0,111.2
2/1/2017 23:00,104.7,3,23,2,9,12.8,88.3,1.2,2.6,0,0,108.5
3/1/2017 0:00,103.8,3,0,3,9,11.4,75,1.2,2.4,0,0,104.7
3/1/2017 1:00,101.9,3,1,3,9,11.2,76.5,0.8,2.4,0,0,103.8
3/1/2017 2:00,91.7,3,2,3,9,11.2,78.7,1.2,2.4,0,0,101.9
